Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
265,Miles McBride,PG,23,NYK,7,0,26,4,11,0.364,2,9,0.222,2,2,1,0.455,1,2,0.5,0,2,2,2,3,0,0,2,11,mcbrimi01
266,CJ McCollum,PG,32,NOP,6,6,206,44,100,0.44,19,50,0.38,25,50,0.5,0.535,23,31,0.742,5,24,29,34,9,5,8,14,130,mccolcj01
267,T.J. McConnell,PG,31,IND,7,0,96,22,37,0.595,0,3,0,22,34,0.647,0.595,9,9,1,4,14,18,23,6,1,5,9,53,mccontj01
268,Jaden McDaniels,SF,23,MIN,8,8,199,33,60,0.55,10,24,0.417,23,36,0.639,0.633,0,0,,6,13,19,10,4,4,7,29,76,mcdanja02
269,Jalen McDaniels,SF,26,TOR,8,0,69,2,17,0.118,1,11,0.091,1,6,0.167,0.147,0,0,,1,7,8,4,2,1,1,6,5,mcdanja01
270,Doug McDermott,SF,32,SAS,11,0,192,29,57,0.509,23,44,0.523,6,13,0.462,0.711,3,4,0.75,2,12,14,18,2,1,9,15,84,mcderdo01
271,JaVale McGee,C,36,SAC,7,0,83,22,35,0.629,0,1,0,22,34,0.647,0.629,5,7,0.714,10,14,24,2,1,3,6,6,49,mcgeeja01
272,Bryce McGowens,SG,21,CHO,5,0,85,6,14,0.429,3,9,0.333,3,5,0.6,0.536,4,6,0.667,0,11,11,3,3,0,4,9,19,mcgowbr01
273,Jordan McLaughlin,PG,27,MIN,5,0,19,1,4,0.25,1,2,0.5,0,2,0,0.375,2,2,1,0,0,0,5,0,2,0,2,5,mclaujo01
274,De'Anthony Melton,SG,25,PHI,10,10,283,33,90,0.367,18,49,0.367,15,41,0.366,0.467,19,24,0.792,5,29,34,42,13,3,13,25,103,meltode01
275,Sam Merrill,SG,27,CLE,4,0,24,2,7,0.286,2,6,0.333,0,1,0,0.429,0,0,,1,2,3,3,2,0,1,0,6,merrisa01
276,Chimezie Metu,C,26,PHO,4,0,10,1,4,0.25,0,2,0,1,2,0.5,0.25,2,2,1,0,2,2,1,0,1,1,0,4,metuch01
277,Vasilije Micić,PG,30,OKC,4,0,51,6,13,0.462,4,8,0.5,2,5,0.4,0.615,2,4,0.5,0,2,2,11,1,0,6,3,18,micicva01
278,Khris Middleton,SF,32,MIL,8,8,151,35,70,0.5,10,31,0.323,25,39,0.641,0.571,11,14,0.786,5,23,28,30,5,1,12,10,91,middlkh01
279,Brandon Miller,SF,21,CHO,9,4,259,44,99,0.444,10,36,0.278,34,63,0.54,0.495,17,22,0.773,13,25,38,14,4,5,8,29,115,millebr02
280,Jordan Miller,SF,24,LAC,2,0,7,2,3,0.667,1,1,1,1,2,0.5,0.833,0,0,,0,0,0,0,0,0,0,2,5,millejo02
281,Leonard Miller,SF,20,MIN,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,millele01
282,Shake Milton,SG,27,MIN,10,0,150,16,42,0.381,6,19,0.316,10,23,0.435,0.452,11,15,0.733,2,17,19,13,7,1,12,16,49,miltosh01
283,Justin Minaya,SF,24,POR,2,0,10,0,0,,0,0,,0,0,,,0,0,,2,1,3,0,0,0,1,1,0,minayju01
284,Josh Minott,SF,21,MIN,5,0,13,3,6,0.5,0,2,0,3,4,0.75,0.5,2,3,0.667,0,0,0,1,0,1,0,2,8,minotjo01
285,Davion Mitchell,PG,25,SAC,8,3,168,19,51,0.373,10,30,0.333,9,21,0.429,0.471,1,1,1,1,12,13,22,4,2,8,19,49,mitchda01
286,Donovan Mitchell,SG,27,CLE,9,9,326,92,196,0.469,30,81,0.37,62,115,0.539,0.546,44,49,0.898,9,34,43,49,19,6,23,19,258,mitchdo01
287,Evan Mobley,PF,22,CLE,10,10,324,67,129,0.519,1,6,0.167,66,123,0.537,0.523,26,34,0.765,31,72,103,29,8,18,21,29,161,mobleev01
288,Isaiah Mobley,PF,24,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,mobleis01
